size,R_test,G_test,B_test,R_inducer,G_inducer,B_inducer,R_label,G_label,B_label,L_label,a_label,b_label
1.25,0.0,235.0,0.0,104.0,182.0,255.0,0.0,236.5,181.5,81.02,-81.02,8.69
1.25,0.0,235.0,0.0,255.0,157.0,133.0,54.666666666666664,244.33333333333334,11.0,86.18666666666667,-74.68666666666667,84.19
3.25,0.0,235.0,0.0,0.0,228.0,196.0,58.0,255.0,95.0,100.0,-82.02,72.19
3.25,0.0,235.0,0.0,255.0,145.0,202.0,22.5,252.0,67.0,92.75999999999999,-81.02,69.69
4.25,0.0,235.0,0.0,0.0,212.0,255.0,0.0,237.0,89.0,81.52,-81.02,54.19
4.25,0.0,235.0,0.0,101.0,222.0,125.0,37.5,246.0,79.5,90.75999999999999,-81.02,67.69
4.25,0.0,235.0,0.0,255.0,145.0,202.0,63.666666666666664,252.66666666666666,42.0,90.52,-73.68666666666667,78.19
5.25,0.0,235.0,0.0,0.0,227.0,255.0,81.0,255.0,64.0,96.0,-77.02,78.19
5.25,0.0,235.0,0.0,101.0,222.0,125.0,0.0,231.0,0.0,79.52,-81.02,78.19
5.25,0.0,235.0,0.0,104.0,182.0,255.0,0.0,252.0,42.5,87.52,-81.02,75.19
5.25,0.0,235.0,0.0,255.0,145.0,202.0,0.0,252.0,19.0,86.52,-82.02,78.19
5.25,0.0,235.0,0.0,255.0,167.0,0.0,59.0,255.0,0.0,93.52,-81.02,95.19
6.25,0.0,235.0,0.0,0.0,225.0,255.0,20.0,255.0,76.0,100.0,-86.02,78.19
7.25,0.0,235.0,0.0,0.0,246.0,194.0,0.0,223.0,28.0,75.02,-101.52,69.19
7.25,0.0,235.0,0.0,101.0,222.0,125.0,0.0,255.0,0.0,85.52,-128.0,77.19
7.25,0.0,235.0,0.0,255.0,167.0,0.0,0.0,237.0,0.0,81.52,-81.02,78.19
