size,R_test,G_test,B_test,R_inducer,G_inducer,B_inducer,R_label,G_label,B_label,L_label,a_label,b_label
40.0,0.0,235.0,0.0,0.0,209.0,255.0,0,226,0,78.52,-75.02,78.19
20.0,0.0,235.0,0.0,0.0,246.0,194.0,0,206,0,71.52,-75.02,84.19
20.0,0.0,235.0,0.0,255.0,117.0,255.0,0,192,0,64.52,-99,78.19
40.0,0.0,235.0,0.0,0.0,246.0,194.0,0,240,30,82.52,-82.02,73.19
2.5,0.0,235.0,0.0,0.0,209.0,255.0,0,245,142,81.52,-107.02,29.19
2.5,0.0,235.0,0.0,255.0,0.0,206.0,0,195,0,64.52,-112.02,78.19
40.0,0.0,235.0,0.0,0.0,209.0,255.0,0,222,0,72.52,-128,78.19
40.0,0.0,235.0,0.0,230.0,196.0,0.0,0,228,0,78.52,-81.02,78.19
20.0,0.0,235.0,0.0,255.0,0.0,206.0,0,201,0,68.52,-89.02,78.19
20.0,0.0,235.0,0.0,255.0,0.0,206.0,0,220,0,75.52,-85.02,78.19
10.0,0.0,235.0,0.0,0.0,209.0,255.0,0,225,68,77.52,-81.02,58.19
2.5,0.0,235.0,0.0,0.0,242.0,255.0,0,220,98,75.52,-81.02,43.19
20.0,0.0,235.0,0.0,0.0,246.0,194.0,0,218,0,74.52,-86.02,71.19
40.0,0.0,235.0,0.0,0.0,246.0,194.0,0,209,0,71.52,-85.02,78.19
10.0,0.0,235.0,0.0,0.0,246.0,194.0,0,246,71,84.52,-81.02,64.19
10.0,0.0,235.0,0.0,0.0,246.0,194.0,0,234,71,80.52,-81.02,60.19
2.5,0.0,235.0,0.0,255.0,0.0,206.0,158,255,0,98,-61.02,96
10.0,0.0,235.0,0.0,0.0,209.0,255.0,0,249,98,85.52,-81.02,55.19
40.0,0.0,235.0,0.0,230.0,196.0,0.0,0,255,62,94,-111.02,75.19
20.0,0.0,235.0,0.0,255.0,0.0,206.0,0,210,0,71.52,-91.02,78.19
40.0,0.0,235.0,0.0,0.0,209.0,255.0,0,249,62,85.52,-81.02,68.19
20.0,0.0,235.0,0.0,255.0,117.0,255.0,0,216,0,73.52,-91.02,78.19
10.0,0.0,235.0,0.0,0.0,246.0,194.0,0,255,87,89.52,-96.02,63.19
40.0,0.0,235.0,0.0,230.0,196.0,0.0,25,241,0,83.52,-75.02,78.19
2.5,0.0,235.0,0.0,255.0,0.0,206.0,157,255,77,99,-60.02,78.19
2.5,0.0,235.0,0.0,255.0,98.0,12.0,186,226,0,84.52,-33.02,122.19
2.5,0.0,235.0,0.0,0.0,209.0,255.0,0,255,149,87.52,-81.02,34.19
10.0,0.0,235.0,0.0,0.0,242.0,255.0,0,212,0,72.52,-87.02,78.19
2.5,0.0,235.0,0.0,255.0,98.0,12.0,159,222,0,81.52,-41.02,104.19
10.0,0.0,235.0,0.0,0.0,242.0,255.0,0,224,41,76.52,-88.02,65.19
20.0,0.0,235.0,0.0,255.0,117.0,255.0,0,213,0,72.52,-91.02,78.19
40.0,0.0,235.0,0.0,0.0,246.0,194.0,0,227,0,77.52,-87.02,78.19
2.5,0.0,235.0,0.0,0.0,209.0,255.0,0,255,133,89.52,-81.02,44.19
2.5,0.0,235.0,0.0,0.0,242.0,255.0,0,255,135,97.52,-81.02,53.19
10.0,0.0,235.0,0.0,0.0,209.0,255.0,0,231,53,79.52,-81.02,65.19
2.5,0.0,235.0,0.0,0.0,242.0,255.0,0,233,144,81.52,-67.02,29.19
20.0,0.0,235.0,0.0,0.0,246.0,194.0,0,253,52,84.52,-103.02,69.19
10.0,0.0,235.0,0.0,0.0,242.0,255.0,0,224,59,74.52,-110.02,57.19
2.5,0.0,235.0,0.0,255.0,98.0,12.0,155,208,0,77.52,-35.02,78.19
