size,R_test,G_test,B_test,R_inducer,G_inducer,B_inducer,R_label,G_label,B_label,L_label,a_label,b_label,L_inducer,a_inducer,b_inducer,hue_inducer
5,0,235,0,0,242,255,0.0,165.3333333,7.0,56.52,-83.68666667,71.52333333,80.0,-90.0,-90.0,225.0
5,0,235,0,0,246,194,0.0,171.3333333,17.33333333,57.85333333,-92.34666667,76.06333333,80.0,-127.0,0.0,180.0
5,0,235,0,230,196,0,0.0,220.0,0.0,75.85333333,-81.01333333,92.12666667,80.0,0.0,127.0,90.0
5,0,235,0,255,98,12,95.0,198.0,20.0,71.52,-52.02,82.79333333,80.0,90.0,90.0,45.0
5,0,235,0,255,117,255,0.0,207.3333333,0.0,70.85333333,-87.68666667,75.85666667,80.0,90.0,-90.0,315.0
10,0,235,0,255,0,206,9.0,199.3333333,32.0,68.18666667,-88.01333333,78.19,80.0,127.0,0.0,0.0
10,0,235,0,255,98,12,23.0,200.3333333,0.0,68.85333333,-85.35333333,81.19,80.0,90.0,90.0,45.0
20,0,235,0,0,209,255,18.66666667,214.3333333,4.333333333,74.52,-74.02,80.46,80.0,0.0,-127.0,270.0
20,0,235,0,0,242,255,0.0,189.6666667,0.0,63.18666667,-111.34,89.12666667,80.0,-90.0,-90.0,225.0
20,0,235,0,230,196,0,10.66666667,205.0,11.0,70.52,-84.34,87.46,80.0,0.0,127.0,90.0
20,0,235,0,255,98,12,21.66666667,195.3333333,0.0,68.85333333,-66.68666667,82.19,80.0,90.0,90.0,45.0
