size,R_test,G_test,B_test,R_inducer,G_inducer,B_inducer,R_label_mean,G_label_mean,B_label_mean,L_label_mean,a_label_mean,b_label_mean,R_label_sem,G_label_sem,B_label_sem,L_label_sem,a_label_sem,b_label_sem,L_inducer,a_inducer,b_inducer,hue_inducer,L_test,a_test,b_test
5,0,235,0,0,242,255,0,165,7,56.52,-83.69,71.52,0,7,7,3,11.7,9.13,80,-90,-90,225,80,-90,90
5,0,235,0,0,246,194,0,171,17,57.85,-92.35,76.06,0,5,17,1.2,9.24,18.71,80,-127,0,180,80,-90,90
5,0,235,0,230,196,0,0,220,0,75.85,-81.01,92.13,0,4,0,1.33,0.01,11.53,80,0,127,90,80,-90,90
5,0,235,0,255,98,12,95,198,20,71.52,-52.02,82.79,4,11,10,3.51,2.08,16.76,80,90,90,45,80,-90,90
5,0,235,0,255,117,255,0,207,0,70.85,-87.69,75.86,0,3,0,1.45,6.67,2.33,80,90,-90,315,80,-90,90
10,0,235,0,255,0,206,9,199,32,68.19,-88.01,78.19,9,10,16,2.4,19.75,21.01,80,127,0,0,80,-90,90
10,0,235,0,255,98,12,23,200,0,68.85,-85.35,81.19,23,4,0,2.6,11.78,7.37,80,90,90,45,80,-90,90
20,0,235,0,0,209,255,19,214,4,74.52,-74.02,80.46,11,4,4,1.73,3.51,8.09,80,0,-127,270,80,-90,90
20,0,235,0,0,242,255,0,190,0,63.19,-111.34,89.13,0,2,0,1.76,15.18,19.49,80,-90,-90,225,80,-90,90
20,0,235,0,230,196,0,11,205,11,70.52,-84.34,87.46,11,3,11,1.15,15.9,14.47,80,0,127,90,80,-90,90
20,0,235,0,255,98,12,22,195,0,68.85,-66.69,82.19,22,0,0,0.33,4.1,4,80,90,90,45,80,-90,90
2.5,0,235,0,0,246,194,0,208,76,69.52,-106.01,45.52,0,8,7,3.21,13.65,1.45,80,-127,0,180,80,-90,90
2.5,0,235,0,230,196,0,60,220,0,77.35,-68.01,109.4,15,5,0,1.96,1.16,15.65,80,0,127,90,80,-90,90
2.5,0,235,0,255,117,255,72,205,161,74.52,-45.35,10.86,7,5,15,1.53,4.33,8.17,80,90,-90,315,80,-90,90
5,0,235,0,0,209,255,29,241,72,82.52,-84.02,61.79,29,3,4,1.53,9.71,2.12,80,0,-127,270,80,-90,90
5,0,235,0,255,0,206,0,240,22,84.01,-104.68,83.79,0,12,22,7.66,12.16,5.6,80,127,0,0,80,-90,90
10,0,235,0,230,196,0,69,244,5,84.85,-72.69,103.73,12,6,5,1.76,3.28,15.26,80,0,127,90,80,-90,90
10,0,235,0,255,117,255,0,194,0,66.85,-81.02,78.19,0,11,0,3.84,0,0,80,90,-90,315,80,-90,90
40,0,235,0,0,242,255,0,212,63,71.52,-95.69,53.19,0,7,6,1,14.67,1.73,80,-90,-90,225,80,-90,90
40,0,235,0,255,0,206,0,223,0,76.85,-81.02,78.19,0,6,0,2.03,0,0,80,127,0,0,80,-90,90
40,0,235,0,255,98,12,0,222,0,74.19,-106.67,85.79,0,3,0,1.45,16.59,7.6,80,90,90,45,80,-90,90
40,0,235,0,255,117,255,0,215,0,74.19,-81.02,78.19,0,5,0,1.76,0,0,80,90,-90,315,80,-90,90
2.5,0,235,0,0,209,255,0,252,141,86.19,-89.69,35.86,0,3,5,2.4,8.67,4.41,80,0,-127,270,80,-90,90
2.5,0,235,0,0,242,255,0,236,126,84.85,-76.35,41.86,0,10,14,6.57,4.67,6.96,80,-90,-90,225,80,-90,90
2.5,0,235,0,255,0,206,105,235,26,87.17,-77.69,84.13,53,20,26,11.33,17.17,5.94,80,127,0,0,80,-90,90
2.5,0,235,0,255,98,12,167,219,0,81.19,-36.35,101.52,10,5,0,2.03,2.4,12.77,80,90,90,45,80,-90,90
10,0,235,0,0,209,255,0,235,73,80.85,-81.02,59.52,0,7,13,2.4,0,2.96,80,0,-127,270,80,-90,90
10,0,235,0,0,242,255,0,220,33,74.52,-95.02,66.86,0,4,17,1.15,7.51,6.12,80,-90,-90,225,80,-90,90
10,0,235,0,0,246,194,0,245,76,84.85,-86.02,62.52,0,6,5,2.6,5,1.2,80,-127,0,180,80,-90,90
20,0,235,0,0,246,194,0,226,17,76.85,-88.02,74.86,0,14,17,3.93,8.14,4.7,80,-127,0,180,80,-90,90
20,0,235,0,255,0,206,0,210,0,71.85,-88.35,78.19,0,5,0,2.03,1.76,0,80,127,0,0,80,-90,90
20,0,235,0,255,117,255,0,207,0,70.19,-93.68,78.19,0,8,0,2.85,2.66,0,80,90,-90,315,80,-90,90
40,0,235,0,0,209,255,0,232,21,78.85,-94.68,74.86,0,8,21,3.76,16.75,3.33,80,0,-127,270,80,-90,90
40,0,235,0,0,246,194,0,225,10,77.19,-84.69,76.52,0,9,10,3.18,1.45,1.67,80,-127,0,180,80,-90,90
40,0,235,0,230,196,0,8,241,21,85.35,-89.02,77.19,8,8,21,4.56,11.14,1,80,0,127,90,80,-90,90
