size,R_test,G_test,B_test,R_inducer,G_inducer,B_inducer,R_label_mean,G_label_mean,B_label_mean,L_label_mean,a_label_mean,b_label_mean,R_label_sem,G_label_sem,B_label_sem,L_label_sem,a_label_sem,b_label_sem,L_inducer,a_inducer,b_inducer,hue_inducer,L_test,a_test,b_test,delta_E,delta_L,delta_a,delta_b
2.5,0,235,0,255,0,206,105,235,26,87.17,-77.69,84.13,53,20,26,11.33,17.17,5.94,80,127,0,0,80,-90,90,15.40785189,-7.17,-12.31,5.87
5,0,235,0,255,0,206,0,240,22,84.01,-104.68,83.79,0,12,22,7.66,12.16,5.6,80,127,0,0,80,-90,90,16.43613702,-4.01,14.68,6.21
10,0,235,0,255,0,206,9,199,32,68.19,-88.01,78.19,9,10,16,2.4,19.75,21.01,80,127,0,0,80,-90,90,16.81999703,11.81,-1.99,11.81
20,0,235,0,255,0,206,0,210,0,71.85,-88.35,78.19,0,5,0,2.03,1.76,0,80,127,0,0,80,-90,90,14.44372182,8.15,-1.65,11.81
40,0,235,0,255,0,206,0,223,0,76.85,-81.02,78.19,0,6,0,2.03,0,0,80,127,0,0,80,-90,90,15.16703663,3.15,-8.98,11.81
2.5,0,235,0,255,98,12,167,219,0,81.19,-36.35,101.52,10,5,0,2.03,2.4,12.77,80,90,90,45,80,-90,90,54.8857814,-1.19,-53.65,-11.52
5,0,235,0,255,98,12,95,198,20,71.52,-52.02,82.79,4,11,10,3.51,2.08,16.76,80,90,90,45,80,-90,90,39.57745444,8.48,-37.98,7.21
10,0,235,0,255,98,12,23,200,0,68.85,-85.35,81.19,23,4,0,2.6,11.78,7.37,80,90,90,45,80,-90,90,14.95195974,11.15,-4.65,8.81
20,0,235,0,255,98,12,22,195,0,68.85,-66.69,82.19,22,0,0,0.33,4.1,4,80,90,90,45,80,-90,90,26.99397525,11.15,-23.31,7.81
40,0,235,0,255,98,12,0,222,0,74.19,-106.67,85.79,0,3,0,1.45,16.59,7.6,80,90,90,45,80,-90,90,18.14852887,5.81,16.67,4.21
2.5,0,235,0,230,196,0,60,220,0,77.35,-68.01,109.4,15,5,0,1.96,1.16,15.65,80,0,127,90,80,-90,90,29.44388901,2.65,-21.99,-19.4
5,0,235,0,230,196,0,0,220,0,75.85,-81.01,92.13,0,4,0,1.33,0.01,11.53,80,0,127,90,80,-90,90,10.12815383,4.15,-8.99,-2.13
10,0,235,0,230,196,0,69,244,5,84.85,-72.69,103.73,12,6,5,1.76,3.28,15.26,80,0,127,90,80,-90,90,22.62015694,-4.85,-17.31,-13.73
20,0,235,0,230,196,0,11,205,11,70.52,-84.34,87.46,11,3,11,1.15,15.9,14.47,80,0,127,90,80,-90,90,11.32950131,9.48,-5.66,2.54
40,0,235,0,230,196,0,8,241,21,85.35,-89.02,77.19,8,8,21,4.56,11.14,1,80,0,127,90,80,-90,90,13.91686028,-5.35,-0.98,12.81
2.5,0,235,0,0,246,194,0,208,76,69.52,-106.01,45.52,0,8,7,3.21,13.65,1.45,80,-127,0,180,80,-90,90,48.42128561,10.48,16.01,44.48
5,0,235,0,0,246,194,0,171,17,57.85,-92.35,76.06,0,5,17,1.2,9.24,18.71,80,-127,0,180,80,-90,90,26.27676921,22.15,2.35,13.94
10,0,235,0,0,246,194,0,245,76,84.85,-86.02,62.52,0,6,5,2.6,5,1.2,80,-127,0,180,80,-90,90,28.1871123,-4.85,-3.98,27.48
20,0,235,0,0,246,194,0,226,17,76.85,-88.02,74.86,0,14,17,3.93,8.14,4.7,80,-127,0,180,80,-90,90,15.59046183,3.15,-1.98,15.14
40,0,235,0,0,246,194,0,225,10,77.19,-84.69,76.52,0,9,10,3.18,1.45,1.67,80,-127,0,180,80,-90,90,14.75813674,2.81,-5.31,13.48
2.5,0,235,0,0,242,255,0,236,126,84.85,-76.35,41.86,0,10,14,6.57,4.67,6.96,80,-90,-90,225,80,-90,90,50.2723045,-4.85,-13.65,48.14
5,0,235,0,0,242,255,0,165,7,56.52,-83.69,71.52,0,7,7,3,11.7,9.13,80,-90,-90,225,80,-90,90,30.53910444,23.48,-6.31,18.48
10,0,235,0,0,242,255,0,220,33,74.52,-95.02,66.86,0,4,17,1.15,7.51,6.12,80,-90,-90,225,80,-90,90,24.30412311,5.48,5.02,23.14
20,0,235,0,0,242,255,0,190,0,63.19,-111.34,89.13,0,2,0,1.76,15.18,19.49,80,-90,-90,225,80,-90,90,27.17956217,16.81,21.34,0.87
40,0,235,0,0,242,255,0,212,63,71.52,-95.69,53.19,0,7,6,1,14.67,1.73,80,-90,-90,225,80,-90,90,38.20029581,8.48,5.69,36.81
2.5,0,235,0,0,209,255,0,252,141,86.19,-89.69,35.86,0,3,5,2.4,8.67,4.41,80,0,-127,270,80,-90,90,54.49359412,-6.19,-0.31,54.14
5,0,235,0,0,209,255,29,241,72,82.52,-84.02,61.79,29,3,4,1.53,9.71,2.12,80,0,-127,270,80,-90,90,28.94675975,-2.52,-5.98,28.21
10,0,235,0,0,209,255,0,235,73,80.85,-81.02,59.52,0,7,13,2.4,0,2.96,80,0,-127,270,80,-90,90,31.78668432,-0.85,-8.98,30.48
20,0,235,0,0,209,255,19,214,4,74.52,-74.02,80.46,11,4,4,1.73,3.51,8.09,80,0,-127,270,80,-90,90,19.40109275,5.48,-15.98,9.54
40,0,235,0,0,209,255,0,232,21,78.85,-94.68,74.86,0,8,21,3.76,16.75,3.33,80,0,-127,270,80,-90,90,15.88850213,1.15,4.68,15.14
2.5,0,235,0,255,117,255,72,205,161,74.52,-45.35,10.86,7,5,15,1.53,4.33,8.17,80,90,-90,315,80,-90,90,91.03182136,5.48,-44.65,79.14
5,0,235,0,255,117,255,0,207,0,70.85,-87.69,75.86,0,3,0,1.45,6.67,2.33,80,90,-90,315,80,-90,90,16.99994706,9.15,-2.31,14.14
10,0,235,0,255,117,255,0,194,0,66.85,-81.02,78.19,0,11,0,3.84,0,0,80,90,-90,315,80,-90,90,19.82521122,13.15,-8.98,11.81
20,0,235,0,255,117,255,0,207,0,70.19,-93.68,78.19,0,8,0,2.85,2.66,0,80,90,-90,315,80,-90,90,15.78779909,9.81,3.68,11.81
40,0,235,0,255,117,255,0,215,0,74.19,-81.02,78.19,0,5,0,1.76,0,0,80,90,-90,315,80,-90,90,15.93338006,5.81,-8.98,11.81
